min_covar,restart,ll_per_obs,n_iter,em_converged,health_ok,kept,is_winner,max_condition_number,min_eigenvalue,N,T,seed,covariance_type
0.001,1,-1.2593325683960188,87,True,True,True,False,53.18833689969183,0.0016154899861251686,10,1000,47,full
0.001,2,-1.2593325740301462,81,True,True,True,False,53.189056439907674,0.0016155107628011622,10,1000,47,full
0.001,3,-1.2593325690597315,87,True,True,True,False,53.18842227123922,0.001615492451157502,10,1000,47,full
0.001,4,-1.2460365251776264,122,True,True,True,False,39.92395412502432,0.0012146115038248234,10,1000,47,full
0.001,5,-1.259332574023941,85,True,True,True,False,53.189055653401354,0.0016155107400880467,10,1000,47,full
0.001,6,-1.2593325743154955,83,True,True,True,False,53.18909257348965,0.0016155118061848685,10,1000,47,full
0.001,7,-1.2593325696330495,86,True,True,True,False,53.18849588204182,0.0016154945766170257,10,1000,47,full
0.001,8,-1.2593325727986404,91,True,True,True,False,53.18890015173405,0.001615506249879095,10,1000,47,full
0.001,9,-1.2593325721543447,89,True,True,True,False,53.18881816984289,0.0016155038826317176,10,1000,47,full
0.0001,0,-1.2593325725944702,92,True,True,True,False,53.18887418907224,0.0016155055001984572,10,1000,47,full
0.0001,1,-1.2593325683723644,87,True,True,True,False,53.18833385338727,0.0016154898981656036,10,1000,47,full
0.0001,2,-1.2593325740189607,81,True,True,True,False,53.189055024493044,0.0016155107219307525,10,1000,47,full
0.0001,3,-1.2593325690390569,87,True,True,True,False,53.1884196147391,0.0016154923744535496,10,1000,47,full
0.0001,4,-1.2460365251754386,122,True,True,True,True,39.92395398294991,0.001214611500343484,10,1000,47,full
0.0001,5,-1.2593325740307355,85,True,True,True,False,53.189056516615075,0.001615510765013712,10,1000,47,full
0.0001,6,-1.2593325742740291,83,True,True,True,False,53.18908732551878,0.0016155116546458974,10,1000,47,full
0.0001,7,-1.2593325696326176,86,True,True,True,False,53.18849582701382,0.001615494575028299,10,1000,47,full
