N,T,seed,total_obs,cov_type_used,min_covar_used,n_restarts_succeeded,n_restarts_attempted,converged,n_iter_full,tried_fallback,ll_per_obs_full,max_condition_number,min_eigenvalue,state_collapse,reliable,sufficiency_warning,ari_full,accuracy_full,unstable_recall_full,diag_fit_failed,ari_diag,accuracy_diag,ll_per_obs_diag,diag_bic_failed,bic_opt_k_diag,bic_opt_k_full
10,2000,49,20000,full,0.001,30,30,True,80,False,-1.2325811352495502,38.22765221117693,0.0013502519449927939,False,True,False,0.34608142134932646,0.66355,0.9999999999999998,False,0.3361787071423239,0.6407,-1.8164044481710917,False,8.0,8
10,2000,50,20000,full,0.0001,30,30,True,82,False,-1.232304971632198,38.80297435100132,0.0013391332780389345,False,True,False,0.3433194003189507,0.66035,0.9999999999999998,False,0.33376572670506555,0.63825,-1.8213669901717149,False,8.0,8
10,2000,51,20000,full,0.001,30,30,True,91,False,-1.2230141340726526,38.467909034848404,0.0013335649163584088,False,True,False,0.3458753806817688,0.66045,0.9999999999999998,False,0.33669252108340064,0.6386,-1.8141265768303028,False,8.0,8
10,5000,42,50000,full,0.0001,30,30,True,81,False,-1.2567390054509864,37.4795716935715,0.0013652780056469373,False,True,False,0.34376325745315717,0.66152,0.9999999999999998,False,0.3352315907830195,0.6381,-1.8353927787275974,False,8.0,7
10,5000,43,50000,full,0.01,30,30,True,97,False,-1.2442716100488915,37.83550030049916,0.001375479859869147,False,True,False,0.34518156045128495,0.66336,0.9998999699909971,False,0.3363084697138318,0.64002,-1.8265504326463315,False,7.0,7
10,5000,44,50000,full,0.0001,30,30,True,46,False,-1.2727103718146042,50.99655697104182,0.0019475531229797643,False,True,False,0.3578119090352256,0.6167,0.9982091334195601,False,0.33848112215901227,0.6414,-1.849177587743861,False,8.0,8
10,5000,45,50000,full,0.0001,30,30,True,76,False,-1.2838517779811758,38.641179174661254,0.0013373412514469214,False,True,False,0.34931644689660235,0.6641,0.9999999999999998,False,0.3403363046078001,0.64296,-1.8598555297430217,False,8.0,8
10,5000,46,50000,full,0.001,30,30,True,58,False,-1.27548988306259,37.907870053802405,0.0013309083522341748,False,True,False,0.3468752466429409,0.66178,0.9999999999999998,False,0.3376409727053313,0.63984,-1.8512469442791477,False,8.0,7
10,5000,47,50000,full,0.001,30,30,True,83,False,-1.2610997679834084,37.31475097313379,0.0013467278764622117,False,True,False,0.34661759483682464,0.66208,0.9999999999999998,False,0.3377856418940448,0.64052,-1.8367310443586695,False,8.0,8
10,5000,48,50000,full,0.0001,30,30,True,74,False,-1.284548641113961,38.22093121884004,0.0013529906894158635,False,True,False,0.34996767854028105,0.66494,0.9999999999999998,False,0.3410810441315021,0.64492,-1.8606404358075705,False,8.0,8
10,5000,49,50000,full,0.01,30,30,True,82,False,-1.268375924319668,37.31564979757552,0.001382928174569601,False,True,False,0.34696580851753533,0.66278,0.9999999999999998,False,0.33762140257911377,0.64234,-1.8454473646706142,False,8.0,8
10,5000,50,50000,full,0.001,30,30,True,63,False,-1.2563509861636297,38.05510639786464,0.0013635309836400778,False,True,False,0.3441527894779348,0.66104,0.9999999999999998,False,0.33480825765896166,0.64112,-1.8357569459529297,False,8.0,8
10,5000,51,50000,full,0.0001,30,30,True,67,False,-1.2700297334411985,37.69221815506686,0.0013539923696219169,False,True,False,0.3458330314252604,0.661,0.9999999999999998,False,0.33824722457382417,0.64332,-1.8488386890374722,False,8.0,8
20,500,42,10000,full,0.01,30,30,True,101,False,-1.2695224554513067,43.9277563765404,0.0011853606465500723,False,True,False,0.343946293450096,0.6601,0.9999999999999996,False,0.33710868715068953,0.6395,-1.8702637196857663,False,7.0,7
20,500,43,10000,full,0.0001,30,30,True,48,False,-1.2523949432564065,60.670888387736355,0.0016498634227034008,False,True,False,0.3666359041417178,0.6257,0.999029597282872,False,0.3439966293841021,0.6438,-1.8486717972595847,False,7.0,7
20,500,44,10000,full,0.0001,30,30,True,103,False,-1.2450868730335927,44.77982875923178,0.0011104893339795644,False,True,False,0.351195568318374,0.6636,0.9999999999999996,False,0.34501127010680627,0.6437,-1.85207886124424,False,7.0,8
20,500,45,10000,full,0.01,30,30,True,63,False,-1.263138674128063,46.66585009917387,0.0011088793419825739,False,True,False,0.35414248802923953,0.6668,0.9999999999999996,False,0.3475417725851252,0.649,-1.8683729822916895,False,8.0,7
20,500,46,10000,full,0.01,30,30,True,91,False,-1.2896718152516151,45.28406524372135,0.0011372750311149232,False,True,False,0.35577322993962635,0.6693,0.9999999999999996,False,0.3477185373547672,0.649,-1.882774848673274,False,8.0,8
20,500,47,10000,full,0.0001,30,30,True,84,False,-1.2392077911671702,47.16459697217699,0.0010753445456279636,False,True,False,0.3555277227348832,0.6689,0.9999999999999996,False,0.34830345166123666,0.6489,-1.8421618740080294,False,8.0,8
20,500,48,10000,full,0.01,30,30,True,81,False,-1.247775228229117,46.24242199227376,0.001081464168588493,False,True,False,0.3525325912484639,0.6665,0.9999999999999996,False,0.344764240600769,0.6472,-1.8517668137268295,False,8.0,7
20,500,49,10000,full,0.01,30,30,True,95,False,-1.2850023521229414,47.71381564098487,0.001086228379378182,False,True,False,0.3532615931357421,0.6678,0.9999999999999996,False,0.3418714682798635,0.6439,-1.8885890981961186,False,8.0,7
20,500,50,10000,full,0.001,30,30,True,121,False,-1.2964402313764658,48.44401507208418,0.0010475959458415892,False,True,False,0.3517744173060301,0.6629,0.9999999999999996,False,0.3400772048323181,0.6386,-1.9088746528828004,False,8.0,6
20,500,51,10000,full,0.0001,30,30,True,91,False,-1.2926920628079708,48.93634616816475,0.0010192235287576883,False,True,False,0.3549343548065659,0.6633,0.9999999999999996,False,0.3425563929759797,0.6368,-1.8941074663603543,False,8.0,8
20,1000,42,20000,full,0.01,30,30,True,78,False,-1.2391410735441861,37.56524489382201,0.001252894493991363,False,True,False,0.3384095602363245,0.6552,0.9999999999999998,False,0.3342112921482261,0.63805,-1.8248582069130095,False,7.0,7
20,1000,43,20000,full,0.01,30,30,True,89,False,-1.2396336013907536,37.79776352825566,0.0012696912987202537,False,True,False,0.34089291365269175,0.65735,0.9999999999999998,False,0.33609375524051,0.6389,-1.8241712036373428,False,8.0,8
20,1000,44,20000,full,0.0001,30,30,True,77,False,-1.2400086499538234,37.9078385126473,0.0012415281569668091,False,True,False,0.3421478494485501,0.6574,0.9999999999999998,False,0.3368377665961006,0.6397,-1.8246039756024686,False,8.0,7
20,1000,45,20000,full,0.0001,30,30,True,72,False,-1.2678736052865218,37.98552548495623,0.0012511000685701073,False,True,False,0.3412034162033042,0.65675,0.9999999999999998,False,0.3364385211317708,0.6411,-1.8502319605086137,False,8.0,7
20,1000,46,20000,full,0.0001,30,30,True,63,False,-1.2682714080095776,51.7847339987934,0.001798749532993382,False,True,False,0.3570770318295652,0.61725,0.9982587064676615,False,0.3371357923199677,0.64125,-1.8377726762227244,False,7.0,8
20,1000,47,20000,full,0.01,30,30,True,73,False,-1.200993538257781,37.60511659989382,0.0012120698756981942,False,True,False,0.3432834888917127,0.65825,0.9999999999999998,False,0.3378725211569572,0.6414,-1.7880804537357156,False,8.0,8
20,1000,48,20000,full,0.01,30,30,True,74,False,-1.218577150776647,36.80062725236504,0.0012117250467267814,False,True,False,0.3426469057957617,0.6576,0.9999999999999998,False,0.3370008255641372,0.64105,-1.803661765671732,False,8.0,8
20,1000,49,20000,full,0.01,30,30,True,64,False,-1.2423613064009649,51.27845125994378,0.0017943213964200782,False,True,False,0.3606599366446982,0.62145,0.9982513115163625,False,0.33365971167143543,0.63595,-1.8207021986252694,False,7.0,7
20,1000,50,20000,full,0.0001,30,30,True,67,False,-1.2480361033073402,38.14940909566669,0.001188838196935174,False,True,False,0.3398709131388276,0.6536,0.9999999999999998,False,0.3312305889403929,0.63205,-1.8411429910968924,False,8.0,7
20,1000,51,20000,full,0.0001,30,30,True,60,False,-1.2625262609927335,53.48853246759383,0.0017127592940095995,False,True,False,0.3616081016103255,0.6198,0.9980435314257763,False,0.33314849444783634,0.63285,-1.8445875843143138,False,8.0,7
20,2000,42,40000,full,0.01,30,30,True,79,False,-1.2515530532781738,37.93107596009756,0.0013586268331756918,False,True,False,0.34378486725378954,0.6605,0.9999999999999999,False,0.33770992358579754,0.641425,-1.8332662880455035,False,8.0,7
